Variables,Values
Innovativeness,5.4
Innovativeness,1.4
Innovativeness,1.6
Innovativeness,1.5
Innovativeness,1.4
Innovativeness,1.4
Innovativeness,1.4
Innovativeness,2.9
Innovativeness,2
Innovativeness,2
Innovativeness,2
Innovativeness,1.4
Innovativeness,2.2
Innovativeness,1.8
Innovativeness,4.7
Innovativeness,2.8
Innovativeness,3.2
Innovativeness,1.6
Innovativeness,2.9
Innovativeness,1.4
Innovativeness,2.1
Innovativeness,1.7
Innovativeness,2.3
Innovativeness,1.7
Innovativeness,2.4
Innovativeness,1.3
Innovativeness,1.7
Innovativeness,1.3
Innovativeness,1
Innovativeness,2
Innovativeness,2.1
Innovativeness,1.7
Innovativeness,2
Innovativeness,1.8
Innovativeness,4.3
Innovativeness,1.3
Innovativeness,1.5
Innovativeness,3.3
Innovativeness,3.9
Innovativeness,1.8
Innovativeness,4
Innovativeness,2
Innovativeness,2.7
Innovativeness,1.2
Innovativeness,1.6
Innovativeness,5.4
Innovativeness,2.3
Innovativeness,0.7
Innovativeness,2.6
Innovativeness,1.8
Innovativeness,1.3
Innovativeness,3.5
Innovativeness,4.6
Innovativeness,1
Innovativeness,1.1
Innovativeness,1
Innovativeness,0.8
Innovativeness,0.9
Innovativeness,0.8
Innovativeness,1.1
Innovativeness,0.7
Innovativeness,2.5
Innovativeness,1.1
Innovativeness,2.4
Innovativeness,1.8
Innovativeness,2
Innovativeness,1.5
Innovativeness,2.8
Innovativeness,0.7
Innovativeness,1.3
Innovativeness,2.2
Innovativeness,1.1
Innovativeness,0.7
Innovativeness,0.8
Innovativeness,0.6
Innovativeness,1.9
Innovativeness,1.2
Innovativeness,0.8
Innovativeness,4.3
Innovativeness,4.2
Innovativeness,4.1
Innovativeness,5.8
Innovativeness,2
Innovativeness,2.8
Innovativeness,2.8
Innovativeness,3.3
Innovativeness,2.5
Innovativeness,2.2
Innovativeness,1.9
Innovativeness,2.1
Innovativeness,2.7
Innovativeness,4
Innovativeness,1.8
Innovativeness,3.3
Innovativeness,4
Innovativeness,2.1
Innovativeness,2.9
Innovativeness,3.1
Innovativeness,2.2
Innovativeness,3
Innovativeness,2
Innovativeness,3.6
Innovativeness,1.8
Innovativeness,3.7
Innovativeness,2
Innovativeness,5
Innovativeness,3.7
Innovativeness,1.8
Innovativeness,4
Innovativeness,2
Innovativeness,2.4
Innovativeness,1.8
Innovativeness,2.4
Innovativeness,3.8
Innovativeness,3.4
Innovativeness,2.9
Innovativeness,2.4
Innovativeness,3
Innovativeness,1.5
Innovativeness,4.1
Innovativeness,2.4
Innovativeness,2.4
Innovativeness,2
Innovativeness,2.2
Innovativeness,3.9
Innovativeness,2.1
Innovativeness,0.7
Innovativeness,3.8
Innovativeness,4
Innovativeness,4.2
Innovativeness,3.4
Innovativeness,4.2
Innovativeness,3.4
Innovativeness,3.8
Innovativeness,1.5
Innovativeness,1.3
Innovativeness,3.1
Innovativeness,4
Innovativeness,4.6
Innovativeness,4.2
Innovativeness,4.4
Innovativeness,5.4
Innovativeness,5.3
Innovativeness,3.7
Innovativeness,1.4
Innovativeness,1.1
Innovativeness,4.6
Innovativeness,4.3
Innovativeness,0.7
Innovativeness,4.1
Innovativeness,2.6
Innovativeness,3.4
Innovativeness,1.4
Innovativeness,2.2
Innovativeness,4.8
Innovativeness,1.2
Innovativeness,1.4
Innovativeness,3.9
Innovativeness,2.9
Innovativeness,3.6
Innovativeness,2.5
Innovativeness,4
Innovativeness,3.7
Innovativeness,2.4
Innovativeness,3.2
Innovativeness,3.2
Innovativeness,3
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,4.3
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,4.3
Innovativeness,4.3
Innovativeness,4.3
Innovativeness,4.3
Innovativeness,3.7
Innovativeness,4.3
Innovativeness,4.5
Innovativeness,4.5
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,2.9
Innovativeness,3.8
Innovativeness,4.4
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.7
Innovativeness,3.9
Innovativeness,3.1
Innovativeness,3.9
Profitability,1.972677596
Profitability,1.9375
Profitability,1.932515337
Profitability,1.96125
Profitability,1.860606061
Profitability,1.741176471
Profitability,1.91875
Profitability,1.8875
Profitability,1.828220859
Profitability,1.872941176
Profitability,1.974117647
Profitability,1.91875
Profitability,1.890588235
Profitability,1.890625
Profitability,1.893125
Profitability,1.909195402
Profitability,1.9375
Profitability,1.971779141
Profitability,1.803783784
Profitability,1.9
Profitability,1.855757576
Profitability,1.89375
Profitability,1.996666667
Profitability,1.919354839
Profitability,1.840490798
Profitability,1.898125
Profitability,1.786470588
Profitability,1.930625
Profitability,1.700564972
Profitability,1.714285714
Profitability,1.82
Profitability,1.8
Profitability,1.82208589
Profitability,1.958490566
Profitability,1.941818182
Profitability,1.892307692
Profitability,1.979865772
Profitability,1.963190184
Profitability,1.829113924
Profitability,1.895424837
Profitability,1.858024691
Profitability,1.913846154
Profitability,1.81595092
Profitability,1.815028902
Profitability,1.928104575
Profitability,1.988269795
Profitability,1.773219373
Profitability,1.881388013
Profitability,1.829652997
Profitability,1.833810888
Profitability,1.90881459
Profitability,1.967320261
Profitability,1.895424837
Profitability,1.950769231
Profitability,1.791044776
Profitability,1.954761905
Profitability,1.898734177
Profitability,1.960784314
Profitability,1.941520468
Profitability,1.851265823
Profitability,1.89017341
Profitability,1.950920245
Profitability,1.917177914
Profitability,1.924027177
Profitability,1.995031056
Profitability,1.803797468
Profitability,1.79245283
Profitability,1.906666667
Profitability,1.906666667
Profitability,1.782857143
Profitability,1.702380952
Profitability,1.79245283
Profitability,1.583333333
Profitability,1.628571429
Profitability,1.676470588
Profitability,1.588888889
Profitability,1.584487535
Profitability,1.810126582
Profitability,1.985
Profitability,1.751592357
Profitability,1.833333333
Profitability,1.66
Profitability,1.724683544
Profitability,1.703125
Profitability,1.965517241
Profitability,1.965517241
Profitability,1.721212121
Profitability,1.82
Profitability,1.798780488
Profitability,1.731117825
Profitability,1.577142857
Profitability,1.527777778
Profitability,1.508859358
Profitability,1.71875
Profitability,1.850649351
Profitability,1.48057971
Profitability,1.545454545
Profitability,1.538235294
Profitability,1.795294118
Profitability,1.666666667
Profitability,1.333333333
Profitability,1.619354839
Profitability,1.981981982
Profitability,1.733333333
Profitability,1.37218543
Profitability,1.724137931
Profitability,1.868421053
Profitability,2.165333333
Profitability,1.666666667
Profitability,1.681547619
Profitability,1.636363636
Profitability,1.428571429
Profitability,1.518987342
Profitability,1.741935484
Profitability,1.812883436
Profitability,1.898734177
Profitability,1.676282051
Profitability,1.607142857
Profitability,1.455696203
Profitability,1.456081081
Profitability,1.885093168
Profitability,1.568627451
Profitability,1.455696203
Profitability,1.392405063
Profitability,1.428571429
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.5375
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.5
Profitability,1.5
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.53125
Profitability,1.60130719
Profitability,1.53125
Profitability,1.53125
Profitability,1.835443038
Profitability,1.75
Profitability,1.867069486
Profitability,1.831288344
Profitability,1.85
Profitability,1.7
Profitability,1.705882353
Profitability,1.84375
Profitability,1.739285714
Profitability,1.906451613
Profitability,1.818181818
Profitability,1.80625
Profitability,1.524539877
Profitability,1.567567568
Profitability,1.422222222
Profitability,1.546666667
Profitability,1.63030303
Profitability,1.622641509
Profitability,1.697530864
Profitability,1.774193548
Profitability,1.902140673
Profitability,1.571865443
Profitability,1.992857143
Profitability,1.894814815
Profitability,1.889285714
Profitability,1.765517241
Profitability,1.858823529
Profitability,1.39375
Profitability,1.790625
Profitability,1.678787879
Profitability,1.617647059
Profitability,1.797385621
Profitability,1.839285714
Profitability,1.883289125
Profitability,1.774193548
Profitability,2.186544343
Profitability,1.621212121
Profitability,1.532121212
Profitability,1.486381323
Profitability,1.405405405
Profitability,1.57195572
Profitability,1.42745098
Profitability,1.513207547
Profitability,1.474903475
Profitability,1.57254902
Profitability,1.369811321
Profitability,1.463601533
Profitability,1.315589354
Profitability,1.479704797
Profitability,1.521912351
Profitability,1.450199203
Profitability,1.378486056
Profitability,1.276752768
Profitability,1.557768924
Profitability,1.521912351
Profitability,1.53256705
Profitability,1.596958175
Profitability,1.22829582
Profitability,1.306273063
Profitability,1.401544402
Profitability,1.452471483
Profitability,1.409594096
Profitability,1.463709677
Profitability,1.400793651
Profitability,1.480620155
Profitability,1.389312977
Profitability,1.555555556
Profitability,1.401515152
Profitability,1.127272727
Profitability,1.208860759
Profitability,1.073033708
Profitability,1.345454545
Profitability,1.297546012
Profitability,1.5425
Profitability,1.494857143
Profitability,1.941176471
Profitability,1.235294118
Profitability,1.181547619
Profitability,1.406936416
Profitability,1.283333333
Profitability,1.136904762
Profitability,1.471518987
Profitability,1.8
Profitability,1.9264
Profitability,1.7875
Profitability,1.8
Profitability,2.375
Profitability,2.292307692
Profitability,1.65
Profitability,1.846153846
Profitability,2.153846154
Profitability,1.55
Profitability,1.905185185
Profitability,2.0336
Profitability,1.755555556
Profitability,2.1168
Profitability,1.796153846
Profitability,1.659259259
Profitability,1.778571429
Profitability,2.052173913
Profitability,1.888
Profitability,1.566666667
Profitability,1.546666667
Profitability,1.566666667
Profitability,1.846153846
Profitability,1.943076923
Profitability,1.650666667
Profitability,1.84
Profitability,1.57875
Profitability,1.546666667
Profitability,1.533333333
Profitability,1.717333333
Profitability,1.904615385
Profitability,1.981538462
Profitability,2.0208
Profitability,1.784615385
Profitability,1.533333333
Profitability,1.9808
Profitability,1.684
Profitability,1.904615385
Profitability,1.650666667
Profitability,1.904615385
Profitability,1.9808
Profitability,1.56
Profitability,1.650666667
Profitability,1.769230769
Profitability,1.9808
Profitability,1.904615385
Profitability,2.063333333
Profitability,1.981538462
Profitability,1.943076923
Profitability,1.7125
Profitability,1.793548387
Profitability,1.696774194
Profitability,1.487654321
Profitability,1.357142857
Profitability,1.858024691
Profitability,1.726708075
Profitability,2.067484663
Profitability,1.969135802
Profitability,1.938271605
Profitability,1.71875
Profitability,1.509090909
Profitability,1.509090909
Profitability,1.668789809
Profitability,1.890909091
Profitability,1.50617284
Profitability,1.733333333
Profitability,1.931677019
Profitability,1.47826087
Profitability,1.602484472
Profitability,1.664705882
Profitability,1.393939394
Profitability,1.919753086
Profitability,3.171779141
Profitability,1.511764706
Profitability,1.8
Profitability,1.825806452
Profitability,1.946153846
Profitability,1.925882353
Profitability,1.696
Profitability,1.915384615
Profitability,1.8
Profitability,1.770186335
Profitability,1.98757764
Profitability,2.00310559
Profitability,1.860759494
Profitability,1.766467066
Profitability,1.98089172
Profitability,1.894273128
Profitability,1.942424242
Profitability,2.127272727
Profitability,1.745762712
Profitability,1.508474576
Profitability,2.097160883
Profitability,2.014414414
Profitability,2.099378882
Profitability,1.861445783
Profitability,2.038905775
Profitability,1.87460815
Profitability,1.8475
Profitability,1.884146341
Profitability,2.002923977
Profitability,1.976470588
Profitability,2.061728395
Profitability,1.813186813
Profitability,1.775
Profitability,1.574545455
Profitability,1.740740741
Profitability,1.65625
Profitability,1.842105263
Profitability,1.842105263
Profitability,1.842105263
Profitability,1.932515337
Profitability,1.842105263
Profitability,1.842105263
Profitability,1.920731707
Profitability,1.982758621
Profitability,1.932515337
Profitability,1.956521739
Profitability,1.842105263
Profitability,1.96875
Profitability,1.702702703
Profitability,1.75
Profitability,1.820809249
Profitability,1.852941176
Profitability,1.8
Profitability,1.721311475
Profitability,1.702702703
Profitability,2.045454545
Profitability,1.96875
Profitability,1.852941176
Profitability,1.75
Profitability,1.702702703
Profitability,1.8
Profitability,1.75
Extension contacts,34
Extension contacts,24
Extension contacts,26
Extension contacts,27
Extension contacts,31
Extension contacts,31
Extension contacts,27
Extension contacts,27
Extension contacts,30
Extension contacts,33
Extension contacts,33
Extension contacts,27
Extension contacts,27
Extension contacts,31
Extension contacts,24
Extension contacts,36
Extension contacts,33
Extension contacts,36
Extension contacts,35
Extension contacts,37
Extension contacts,33
Extension contacts,33
Extension contacts,28
Extension contacts,27
Extension contacts,27
Extension contacts,27
Extension contacts,27
Extension contacts,37
Extension contacts,30
Extension contacts,26
Extension contacts,27
Extension contacts,33
Extension contacts,27
Extension contacts,33
Extension contacts,30
Extension contacts,16
Extension contacts,16
Extension contacts,16
Extension contacts,15
Extension contacts,14
Extension contacts,15
Extension contacts,21
Extension contacts,17
Extension contacts,17
Extension contacts,15
Extension contacts,15
Extension contacts,14
Extension contacts,34
Extension contacts,14
Extension contacts,16
Extension contacts,16
Extension contacts,15
Extension contacts,13
Extension contacts,17
Extension contacts,14
Extension contacts,15
Extension contacts,13
Extension contacts,15
Extension contacts,14
Extension contacts,19
Extension contacts,13
Extension contacts,15
Extension contacts,32
Extension contacts,20
Extension contacts,23
Extension contacts,19
Extension contacts,23
Extension contacts,30
Extension contacts,25
Extension contacts,27
Extension contacts,19
Extension contacts,20
Extension contacts,20
Extension contacts,17
Extension contacts,21
Extension contacts,20
Extension contacts,25
Extension contacts,14
Extension contacts,40
Extension contacts,26
Extension contacts,25
Extension contacts,14
Extension contacts,28
Extension contacts,23
Extension contacts,25
Extension contacts,20
Extension contacts,20
Extension contacts,23
Extension contacts,18
Extension contacts,23
Extension contacts,20
Extension contacts,21
Extension contacts,14
Extension contacts,18
Extension contacts,20
Extension contacts,17
Extension contacts,10
Extension contacts,11
Extension contacts,12
Extension contacts,16
Extension contacts,16
Extension contacts,12
Extension contacts,13
Extension contacts,16
Extension contacts,11
Extension contacts,29
Extension contacts,27
Extension contacts,28
Extension contacts,18
Extension contacts,17
Extension contacts,18
Extension contacts,15
Extension contacts,25
Extension contacts,18
Extension contacts,12
Extension contacts,19
Extension contacts,26
Extension contacts,23
Extension contacts,11
Extension contacts,27
Extension contacts,28
Extension contacts,25
Extension contacts,19
Extension contacts,26
Extension contacts,20
Extension contacts,20
Extension contacts,15
Extension contacts,29
Extension contacts,28
Extension contacts,29
Extension contacts,19
Extension contacts,10
Extension contacts,10
Extension contacts,18
Extension contacts,19
Extension contacts,18
Extension contacts,15
Extension contacts,16
Extension contacts,20
Extension contacts,30
Extension contacts,21
Extension contacts,25
Extension contacts,21
Extension contacts,20
Extension contacts,21
Extension contacts,22
Extension contacts,23
Extension contacts,15
Extension contacts,20
Extension contacts,11
Extension contacts,25
Extension contacts,29
Extension contacts,29
Extension contacts,11
Extension contacts,15
Extension contacts,11
Extension contacts,18
Extension contacts,12
Extension contacts,14
Extension contacts,10
Extension contacts,15
Extension contacts,11
Extension contacts,12
Extension contacts,12
Extension contacts,12
Extension contacts,18
Extension contacts,20
Extension contacts,16
Extension contacts,15
Extension contacts,12
Extension contacts,13
Extension contacts,18
Extension contacts,17
Extension contacts,16
Extension contacts,13
Extension contacts,28
Extension contacts,15
Extension contacts,13
Extension contacts,16
Extension contacts,11
Extension contacts,16
Extension contacts,12
Extension contacts,10
Extension contacts,17
Extension contacts,17
Extension contacts,19
Extension contacts,28
Extension contacts,14
Extension contacts,12
Extension contacts,17
Extension contacts,27
Extension contacts,16
Extension contacts,21
Extension contacts,17
Extension contacts,28
Extension contacts,21
Extension contacts,19
Extension contacts,22
Extension contacts,13
Extension contacts,19
Extension contacts,21
Extension contacts,25
Extension contacts,22
Extension contacts,22
Extension contacts,15
Extension contacts,15
Extension contacts,15
Extension contacts,19
Extension contacts,23
Extension contacts,23
Extension contacts,15
Extension contacts,17
Extension contacts,17
Extension contacts,20
Extension contacts,21
Extension contacts,19
Extension contacts,27
Extension contacts,12
Extension contacts,18
Extension contacts,24
Extension contacts,22
Extension contacts,16
Extension contacts,24
Extension contacts,25
Extension contacts,20
Extension contacts,13
Extension contacts,13
Extension contacts,29
Extension contacts,22
Extension contacts,15
Extension contacts,17
Extension contacts,21
Extension contacts,26
Extension contacts,22
Extension contacts,25
Extension contacts,25
Extension contacts,24
Extension contacts,10
Extension contacts,23
Extension contacts,26
Extension contacts,29
Extension contacts,20
Extension contacts,16
Extension contacts,14
Extension contacts,17
Extension contacts,26
Extension contacts,12
Extension contacts,20
Extension contacts,15
Extension contacts,14
Extension contacts,14
Extension contacts,13
Extension contacts,19
Extension contacts,17
Extension contacts,27
Extension contacts,27
Extension contacts,25
Extension contacts,22
Extension contacts,19
Extension contacts,22
Extension contacts,18
Extension contacts,20
Extension contacts,19
Extension contacts,17
Extension contacts,19
Extension contacts,15
Extension contacts,13
Extension contacts,23
Extension contacts,19
Extension contacts,21
Extension contacts,27
Extension contacts,17
Extension contacts,18
Extension contacts,19
Extension contacts,0
Extension contacts,28
Extension contacts,15
Extension contacts,22
Extension contacts,25
Extension contacts,19
Extension contacts,18
Extension contacts,27
Extension contacts,18
Extension contacts,18
Extension contacts,17
Extension contacts,28
Extension contacts,12
Extension contacts,14
Extension contacts,11
Extension contacts,24
Extension contacts,25
Extension contacts,13
Extension contacts,16
Extension contacts,15
Extension contacts,15
Extension contacts,27
Extension contacts,15
Extension contacts,27
Extension contacts,29
Extension contacts,21
Extension contacts,13
Extension contacts,13
Extension contacts,10
Extension contacts,14
Extension contacts,11
Extension contacts,19
Extension contacts,18
Extension contacts,11
Extension contacts,19
Extension contacts,10
Extension contacts,26
Extension contacts,19
Extension contacts,17
Extension contacts,19
Extension contacts,16
Extension contacts,18
Extension contacts,16
Extension contacts,25
Extension contacts,11
Extension contacts,24
Extension contacts,11
Extension contacts,10
Extension contacts,28
Extension contacts,29
Extension contacts,12
Extension contacts,19
Extension contacts,26
Extension contacts,11
Extension contacts,14
Extension contacts,29
Extension contacts,10
Extension contacts,15
Extension contacts,10
Extension contacts,18
Extension contacts,10
Extension contacts,18
Extension contacts,11
Extension contacts,13
Extension contacts,19
Extension contacts,18
Extension contacts,10
Extension contacts,10
Extension contacts,17
Extension contacts,15
Extension contacts,23
Extension contacts,33
Extension contacts,33
Extension contacts,26
Extension contacts,24
Extension contacts,24
Extension contacts,24
Extension contacts,35
Extension contacts,28
Extension contacts,24
Extension contacts,23
Extension contacts,25
Extension contacts,26
Extension contacts,23
Extension contacts,26
Extension contacts,24
Extension contacts,34
Extension contacts,26
Extension contacts,25
Extension contacts,27
Extension contacts,27
Extension contacts,13
Extension contacts,11
Extension contacts,16
Extension contacts,12
Extension contacts,13
Extension contacts,24
Value chain contacts,15
Value chain contacts,23
Value chain contacts,23
Value chain contacts,23
Value chain contacts,23
Value chain contacts,23
Value chain contacts,23
Value chain contacts,23
Value chain contacts,24
Value chain contacts,23
Value chain contacts,18
Value chain contacts,23
Value chain contacts,18
Value chain contacts,22
Value chain contacts,23
Value chain contacts,14
Value chain contacts,22
Value chain contacts,23
Value chain contacts,17
Value chain contacts,20
Value chain contacts,21
Value chain contacts,21
Value chain contacts,26
Value chain contacts,19
Value chain contacts,21
Value chain contacts,22
Value chain contacts,19
Value chain contacts,27
Value chain contacts,21
Value chain contacts,23
Value chain contacts,23
Value chain contacts,22
Value chain contacts,23
Value chain contacts,25
Value chain contacts,23
Value chain contacts,11
Value chain contacts,22
Value chain contacts,23
Value chain contacts,25
Value chain contacts,22
Value chain contacts,12
Value chain contacts,12
Value chain contacts,13
Value chain contacts,15
Value chain contacts,19
Value chain contacts,12
Value chain contacts,28
Value chain contacts,11
Value chain contacts,18
Value chain contacts,17
Value chain contacts,10
Value chain contacts,27
Value chain contacts,14
Value chain contacts,12
Value chain contacts,11
Value chain contacts,29
Value chain contacts,22
Value chain contacts,16
Value chain contacts,10
Value chain contacts,18
Value chain contacts,14
Value chain contacts,11
Value chain contacts,11
Value chain contacts,28
Value chain contacts,23
Value chain contacts,18
Value chain contacts,17
Value chain contacts,22
Value chain contacts,20
Value chain contacts,20
Value chain contacts,22
Value chain contacts,21
Value chain contacts,22
Value chain contacts,24
Value chain contacts,23
Value chain contacts,24
Value chain contacts,25
Value chain contacts,20
Value chain contacts,35
Value chain contacts,19
Value chain contacts,22
Value chain contacts,20
Value chain contacts,20
Value chain contacts,15
Value chain contacts,23
Value chain contacts,30
Value chain contacts,11
Value chain contacts,16
Value chain contacts,20
Value chain contacts,18
Value chain contacts,17
Value chain contacts,20
Value chain contacts,16
Value chain contacts,21
Value chain contacts,23
Value chain contacts,24
Value chain contacts,13
Value chain contacts,19
Value chain contacts,13
Value chain contacts,11
Value chain contacts,19
Value chain contacts,8
Value chain contacts,30
Value chain contacts,23
Value chain contacts,15
Value chain contacts,16
Value chain contacts,15
Value chain contacts,12
Value chain contacts,17
Value chain contacts,19
Value chain contacts,13
Value chain contacts,21
Value chain contacts,15
Value chain contacts,30
Value chain contacts,33
Value chain contacts,18
Value chain contacts,15
Value chain contacts,27
Value chain contacts,10
Value chain contacts,14
Value chain contacts,27
Value chain contacts,13
Value chain contacts,22
Value chain contacts,24
Value chain contacts,22
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,25
Value chain contacts,15
Value chain contacts,15
Value chain contacts,25
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,30
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,11
Value chain contacts,10
Value chain contacts,15
Value chain contacts,19
Value chain contacts,18
Value chain contacts,17
Value chain contacts,15
Value chain contacts,15
Value chain contacts,14
Value chain contacts,14
Value chain contacts,19
Value chain contacts,19
Value chain contacts,19
Value chain contacts,17
Value chain contacts,14
Value chain contacts,14
Value chain contacts,17
Value chain contacts,18
Value chain contacts,19
Value chain contacts,14
Value chain contacts,16
Value chain contacts,18
Value chain contacts,19
Value chain contacts,18
Value chain contacts,15
Value chain contacts,17
Value chain contacts,18
Value chain contacts,12
Value chain contacts,17
Value chain contacts,13
Value chain contacts,15
Value chain contacts,18
Value chain contacts,18
Value chain contacts,14
Value chain contacts,29
Value chain contacts,21
Value chain contacts,14
Value chain contacts,19
Value chain contacts,11
Value chain contacts,16
Value chain contacts,14
Value chain contacts,10
Value chain contacts,15
Value chain contacts,10
Value chain contacts,16
Value chain contacts,13
Value chain contacts,12
Value chain contacts,12
Value chain contacts,14
Value chain contacts,12
Value chain contacts,13
Value chain contacts,11
Value chain contacts,16
Value chain contacts,14
Value chain contacts,15
Value chain contacts,13
Value chain contacts,16
Value chain contacts,17
Value chain contacts,14
Value chain contacts,16
Value chain contacts,21
Value chain contacts,12
Value chain contacts,11
Value chain contacts,12
Value chain contacts,10
Value chain contacts,14
Value chain contacts,12
Value chain contacts,13
Value chain contacts,28
Value chain contacts,23
Value chain contacts,37
Value chain contacts,25
Value chain contacts,24
Value chain contacts,13
Value chain contacts,18
Value chain contacts,21
Value chain contacts,33
Value chain contacts,35
Value chain contacts,29
Value chain contacts,26
Value chain contacts,29
Value chain contacts,20
Value chain contacts,30
Value chain contacts,36
Value chain contacts,14
Value chain contacts,29
Value chain contacts,19
Value chain contacts,20
Value chain contacts,10
Value chain contacts,16
Value chain contacts,10
Value chain contacts,16
Value chain contacts,30
Value chain contacts,28
Value chain contacts,10
Value chain contacts,29
Value chain contacts,12
Value chain contacts,10
Value chain contacts,12
Value chain contacts,15
Value chain contacts,16
Value chain contacts,19
Value chain contacts,18
Value chain contacts,22
Value chain contacts,15
Value chain contacts,14
Value chain contacts,24
Value chain contacts,15
Value chain contacts,13
Value chain contacts,15
Value chain contacts,18
Value chain contacts,19
Value chain contacts,22
Value chain contacts,17
Value chain contacts,21
Value chain contacts,19
Value chain contacts,22
Value chain contacts,21
Value chain contacts,22
Value chain contacts,22
Value chain contacts,22
Value chain contacts,20
Value chain contacts,21
Value chain contacts,23
Value chain contacts,22
Value chain contacts,23
Value chain contacts,22
Value chain contacts,17
Value chain contacts,22
Value chain contacts,13
Value chain contacts,17
Value chain contacts,12
Value chain contacts,13
Value chain contacts,17
Value chain contacts,18
Value chain contacts,20
Value chain contacts,13
Value chain contacts,13
Value chain contacts,10
Value chain contacts,12
Value chain contacts,12
Value chain contacts,27
Value chain contacts,29
Value chain contacts,11
Value chain contacts,39
Value chain contacts,12
Value chain contacts,14
Value chain contacts,10
Value chain contacts,11
Value chain contacts,10
Value chain contacts,29
Value chain contacts,19
Value chain contacts,14
Value chain contacts,28
Value chain contacts,13
Value chain contacts,28
Value chain contacts,11
Value chain contacts,12
Value chain contacts,33
Value chain contacts,14
Value chain contacts,17
Value chain contacts,17
Value chain contacts,21
Value chain contacts,17
Value chain contacts,17
Value chain contacts,13
Value chain contacts,20
Value chain contacts,14
Value chain contacts,20
Value chain contacts,16
Value chain contacts,12
Value chain contacts,17
Value chain contacts,26
Value chain contacts,23
Value chain contacts,21
Value chain contacts,25
Value chain contacts,22
Value chain contacts,19
Value chain contacts,22
Value chain contacts,19
Value chain contacts,12
Value chain contacts,21
Value chain contacts,18
Value chain contacts,23
Value chain contacts,21
Value chain contacts,20
Value chain contacts,33
Value chain contacts,21
Value chain contacts,15
Value chain contacts,17
Value chain contacts,17
Value chain contacts,12
Value chain contacts,17
Value chain contacts,15
Value chain contacts,15
Value chain contacts,17
Value chain contacts,17
Value chain contacts,21
Value chain contacts,15
Value chain contacts,15
Value chain contacts,15
Value chain contacts,14
Value chain contacts,16
Value chain contacts,16
Value chain contacts,10
Value chain contacts,16
Value chain contacts,15
Value chain contacts,11
Value chain contacts,18
Value chain contacts,14
Value chain contacts,21
Value chain contacts,21
Value chain contacts,15
Value chain contacts,18
Value chain contacts,13
Value chain contacts,12
Training,2
Training,15
Training,1
Training,2
Training,1
Training,0
Training,0
Training,0
Training,0
Training,2
Training,0
Training,1
Training,0
Training,1
Training,0
Training,1
Training,0
Training,1
Training,1
Training,0
Training,2
Training,0
Training,0
Training,1
Training,1
Training,1
Training,1
Training,0
Training,1
Training,0
Training,2
Training,1
Training,2
Training,1
Training,2
Training,5
Training,0
Training,0
Training,0
Training,0
Training,0
Training,2
Training,0
Training,0
Training,0
Training,0
Training,1
Training,2
Training,0
Training,0
Training,0
Training,0
Training,0
Training,1
Training,1
Training,0
Training,1
Training,0
Training,0
Training,0
Training,0
Training,0
Training,1
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,1
Training,2
Training,1
Training,10
Training,0
Training,0
Training,1
Training,1
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,17
Training,11
Training,1
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,1
Training,1
Training,8
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,14
Training,1
Training,0
Training,0
Training,15
Training,0
Training,0
Training,0
Training,4
Training,15
Training,0
Training,0
Training,0
Training,0
